品目コード,品目名称,箱種,品目名称_2
72832,L86101-78770,,
72833,L86101-78790,,
72834,L86101-78800,,
72835,L86101-78810-A,,
72836,L86101-78830,,
72837,L86101-78850,,
72838,L86101-78860,,
72839,L86101-78870,,
72840,L86101-78880,,
72841,L86101-78890,,
72842,P86101-78A60,,
72843,P86101-78A70,,
72844,L86101-78A80,,
72845,P86101-78A90,,
72846,P86101-78B00,,
72847,L86101-78B10,,
72848,P86101-78B20,,
72849,L86101-78B30,,
72850,P86101-78B40,,
72851,L86101-78B50,,
72853,L86101-78B90,,
72856,P86101-78C30,,
72857,P86101-78C40,,
72858,L86681-78010,,
72907,N6-28241 7NA0B,,
72910,S39156-T5L-T010-M1,,
72911,S39156-T5R-H012-M1-1,,
72949,86101-26500-B,,
72959,Y86101-26500-B,,
72969,86159-B2690-H,,
72970,86316-B2850-H,,
73094,86101-26470-A,,
73122,39584-TD4-J11,,
73131,S39156-TKR-J010-M1-1,,
73132,S39156-TKR-J110-M1-1,,
73133,S39160-TKR-J012-M1-1,,
73316,39156-T6G-J22,,
73364,Y86300-11020-3,,
73365,Y86300-11030-3,,
73366,Y86300-33370-2,,
73379,L86101-78G40,,
73380,L86101-78G50,,
73381,L86101-78G60,,
73382,L86101-78G70,,
73383,L86101-78G90,,
73384,L86101-78J00,,
73385,L86101-78J10,,
73547,86101-11070,,
73548,86101-11100,,
73549,86101-11290,,
73550,86101-11300,,
73551,86101-11440,,
73552,86101-11450,,
73553,86101-11460,,
73554,86101-11470,,
73555,86101-11480,,
73556,86101-11490,,
73557,86101-11500,,
73558,86101-11510,,
73559,86101-11520,,
73560,86101-11530,,
73561,86101-11540,,
73562,86101-11550,,
73563,86101-11560,,
73564,86101-11570,,
73567,86101-11600,,
73571,S39160-TZA-J011-M1,,
73574,S39160-TZA-J111-M1,,
73653,86159-B1010-J,,
73654,86316-B1420-J,,
73674,86101-11620,,
73675,86101-11630,,
73676,86101-11640,,
73677,86101-11650,,
73686,Y86050-12100,,
73687,Y86050-12110,,
73756,86101-26480-B,,
73774,S39160-TZA-E010-M1,,
73790,Y86101-26470-A,,
73835,S39160-TZA-G010-M1,,
73836,S39156-TZA-G011-M1,,
73844,86101-11670,,
73852,Y86101-78G40,,
73853,Y86101-78G50,,
73854,Y86101-78G60,,
73855,Y86101-78G70,,
73856,Y86101-78G90,,
73857,Y86101-78J00,,
73858,Y86101-78J10,,
73892,39584-TTA-J01,,
73929,S39164-TZA-G111-Y1,,
73930,S39515-TZA-G011-Y1,,
73931,S39515-TZA-G111-Y1,,
73945,86101-11660-A,,
73946,L86101-78840,,
73947,L86101-78K10,,
73950,86101-78K20,,
73967,86316-B1440-K,,
74099,Y86101-26480-B,,
74100,Y86101-26510-B,,
74400,S39156-T82-J110-M1,,
74482,S39156-TZA-J210-M1,,
74486,Y86101-11620,,
74487,Y86101-11630,,
74488,Y86101-11640,,
74489,Y86101-11650,,
74490,Y86101-11660-A,,
74491,Y86101-11670,,
74509,Y86101-78840,,
74510,Y86101-78K10,,
74511,Y86101-78K30-A,,
74512,Y86101-11070,,
74513,Y86101-11100,,
74514,Y86101-11290,,
74515,Y86101-11300,,
74516,Y86101-11440,,
74517,Y86101-11450,,
74518,Y86101-11460,,
74519,Y86101-11470,,
74520,Y86101-11480,,
74521,Y86101-11490,,
74522,Y86101-11500,,
74523,Y86101-11510,,
74524,Y86101-11520,,
74525,Y86101-11530,,
74526,Y86101-11540,,
74527,Y86101-11550,,
74528,Y86101-11560,,
74529,Y86101-11570,,
74608,86159-B1040,,
74626,Y86681-30020-A,,
74631,Y86101-11580-A,,
74657,86683-60010,,
74684,Y86681-50380-A,,
74685,Y86681-50390-A,,
74783,S39156-TZA-J012-M1,,
74784,S39156-TZA-J112-M1,,
74785,S39156-TZA-E012-M1,,
74832,L86101-78K30-A,,
74884,Y86681-76020,,
75013,86050-76060,,
75015,86101-78240-A,,
75016,86101-78430-A,,
75034,Y86159-B1010-J,,
75037,Y86159-B2690-H,,
75038,Y86316-B1420-J,,
75039,Y86316-B1440-K,,
75042,Y86316-B2850-H,,
75051,Y86159-B2410-J,,
75058,Y86316-B2810-J,,
75090,86681-76020,,
75117,S39164-TZA-G210-Y1,,
75118,S39164-TZA-G310-Y1,,
75119,S39515-TZA-G210-Y1,,
75130,86101-26580-D,,
75131,86101-26630-B,,
75132,86705-V3010,,
75133,86808-V3010,,
75160,86101-26510-C,,
75206,S39160-TXA-J213-M1,,
75207,S39156-TXA-J012-M1,,
75208,S39156-TXA-J112-M1,,
75209,S39160-TXA-J013-M1,,
75219,S39160-TZA-J210-M1-1,,
75245,86101-26360-C,,
75246,86101-26370-C,,
75247,86101-26380-C,,
75248,86101-26400-C,,
75249,86101-26410-B,,
75250,86101-26430-B,,
75251,86101-26440-B,,
75252,86101-26450-B,,
75253,86101-26460-B,,
75254,86101-26420-A,,
75255,86101-26530-C,,
75256,86101-26550-B,,
75257,86994-26010-A,,
75258,86101-26390-C,,
75260,L86681-60400,,
75272,S39164-TZA-E012-Y1-1,,
75273,S39164-TZA-E112-Y1-1,,
75274,S39515-TZA-E013-Y1-1,,
75276,S39825-TZA-E010-Y1-1,,
75277,S39878-TZA-T012-Y1-1,,
75279,S39878-TZA-G011-Y1-1,,
75280,S39825-TZA-G010-Y1-1,,
75281,S39584-TKR-J010-Y1-1,,
75297,Y86101-26510-C,,
75298,Y86101-26360-C,,
75299,Y86101-26370-C,,
75300,Y86101-26380-C,,
75301,Y86101-26400-C,,
75302,Y86101-26410-B,,
75303,Y86101-26430-B,,
75304,Y86101-26440-B,,
75305,Y86101-26450-B,,
75306,Y86101-26460-B,,
75307,Y86101-26420-A,,
75308,Y86101-26530-C,,
75309,Y86101-26550-B,,
75310,Y86101-26390-C,,
75313,FED39161-T20-A110-Y1,,
75315,FED39167-T20-A110-Y1,,
75316,FED39167-T20-Q110-Y1,,
75317,FED39825-T20-A111-Y1,,
75339,S39160-3M0-J111-M1,,
75378,S39156-3M0-J112-M1,,
75394,S39156-3M0-J012-M1,,
75402,Y86683-60010,,
75405,86101-V3010,,
75406,86101-V3020,,
75407,86101-V3030,,
75408,86101-V3040,,
75409,86101-V3050,,
75410,86101-V3060,,
75611,S39160-3M0-J312-M1,,
75613,S39160-3M0-J512-M1,,
75623,S39164-3M0-J011-Y1-1,,
75624,S39164-3M0-J111-Y1-1,,
75625,S39515-3M0-J011-Y1-1,,
75626,S39584-3M0-J010-Y1-1,,
75627,S39878-3M0-J011-Y1-1,,
75628,S39165-3M0-J010-Y1-1,,
75629,S39825-3M0-J010-Y1-1,,
75825,Y86681-33060,,
75833,39164-TLA-A01,,
75834,39166-TLA-A01,,
75855,S39825-3M0-G010-Y1,,
75856,S39164-3M0-G010-Y1,,
75857,S39164-3M0-G110-Y1,,
75859,S39515-3M0-G010-Y1,,
75874,S39160-3M0-J213-M1,,
76221,S39165-3N0-E010-Y1-1,,
76264,Y86101-V3010,,
76265,Y86101-V3020,,
76266,Y86101-V3030,,
76267,Y86101-V3040,,
76268,Y86101-V3050,,
76269,Y86101-V3060,,
76272,86101-42R60-A,,
76273,86101-42M10-A,,
76274,86101-42Q50-A,,
76293,86101-42N10-A,,
76296,86101-42N50-A,,
76298,86101-42N70-A,,
76301,86101-42P60-A,,
76302,86101-42Q00-A,,
76303,86101-42Q20-A,,
76304,86101-42Q30-A,,
76308,86101-42R40-A,,
76324,86159-B1050-B,,
76397,86101-42M00-A,,
76399,86101-42M30-A,,
76414,FED39167-3S5-A010-Y1,,
76415,FED39825-3S5-A010-Y1,,
76428,Y86159-B1050-B,,
76448,86101-42P10-A,,
76510,AG00D 72000S-1,,
76591,S39156-3M0-J313-M1,,
76608,86101-11580-B,,
76609,86101-11590-B,,
76610,Y86101-11580-B,,
76611,Y86101-11590-B,,
76621,86101-78D10-D-1,,
76628,86101-V3080,,
76773,FED39165-3A0-A010-Y1,,
76774,86101-42N20-B,,
76775,86101-42N30-B,,
76776,86101-42Q80-B,,
76813,Y86101-42N10-A,,
76814,Y86101-42N20-B,,
76815,Y86101-42N30-B,,
76816,Y86101-42N50-A,,
76817,Y86101-42Q00-A,,
76818,Y86101-42Q30-A,,
76820,Y86101-42Q80-B,,
76822,Y86101-42P10-A,,
76823,Y86101-42N60-A,,
76824,Y86101-42N70-A,,
76825,Y86101-42N80-A,,
76827,Y86101-42R00-A,,
76828,Y86101-42R20-B-1,,
76830,Y86101-42R40-A,,
76835,Y86101-42M40-B,,
76836,Y86101-42M60-B,,
76837,Y86101-42M70-B,,
76838,Y86101-42M80-B,,
76839,Y86101-42M90-B,,
76840,Y86101-42Q70-B,,
76841,Y86101-42Q90-B,,
76842,Y86101-42R10-B,,
76843,Y86101-42R60-A,,
76844,Y86101-42M10-A,,
76845,Y86101-42Q50-A,,
76846,Y86101-42M00-C,,
76847,Y86101-42M20-C,,
76848,Y86101-42M30-A,,
76851,Y86101-42R90-C-1,,
76904,86101-42N00-A-1,,
76905,86101-42Q40-A-1,,
76906,86101-42P00-A-1,,
76909,86101-46440-A,,
76949,Y86101-42N00-A-1,,
76950,Y86101-42Q40-A-1,,
76951,Y86101-42P00-A-1,,
76964,86101-42M00-C,,
76965,86101-42M20-C,,
76968,86101-42M40-B,,
76969,86101-42M60-B,,
76970,86101-42M70-B,,
76971,86101-42M80-B,,
76972,86101-42M90-B,,
76973,86101-42Q70-B,,
76974,86101-42Q90-B,,
76975,86101-42R10-B,,
77018,86101-46300-A,,
77019,86101-46350-A,,
77024,86101-46260-A,,
77025,86101-46280-A,,
77026,86101-46370-A,,
77036,86050-12100-1,,
77037,86050-12110-1,,
77042,86050-76050-1,,
77043,86050-76060-1,,
77052,86681-10010-B-2,,
77053,86681-11010-A-1,,
77054,86681-26050-1,,
77055,86681-30020-A-1,,
77058,L86681-33020-B-1,,
77059,86681-33040-A-1,,
77060,86681-33050-1,,
77062,86681-33060-1,,
77063,86681-42030-1,,
77065,86681-42040-1,,
77066,86681-42050-1,,
77067,86681-48080-A-1,,
77068,86681-48150-A-1,,
77069,L86681-50380-A-1,,
77070,L86681-50390-A-1,,
77071,86681-58390-1,,
77072,86681-58400-1,,
77073,86681-60270-1,,
77074,86681-60280-1,,
77077,86681-60410-A-1,,
77078,86681-62010-1,,
77079,86681-76010-1,,
77080,86681-76020-1,,
77100,86101-46540-A,,
77104,86101-42L70-C,,
77105,86101-42L80-C,,
77153,86101-46460-A,,
77155,86101-46470-A,,
77157,86101-46490-A,,
77158,86101-46500-A,,
77159,86101-46510-A,,
77185,86101-YY110-A,,
77204,86101-42R20-B-1,,
77218,Y86050-12110-1,,
77224,Y86050-76050-1,,
77225,Y86050-76060-1,,
77227,Y86681-11010-A-1,,
77228,Y86681-26050-1,,
77230,Y86681-33020-B-1,,
77231,Y86681-33040-A-1,,
77232,Y86681-33050-1,,
77233,Y86681-33060-1,,
77234,Y86681-42030-1,,
77235,Y86681-42040-1,,
77236,Y86681-42050-1,,
77237,Y86681-48080-A-1,,
77238,Y86681-48150-A-1,,
77239,Y86681-50380-A-1,,
77240,Y86681-50390-A-1,,
77241,Y86681-58390-1,,
77242,Y86681-58400-1,,
77243,Y86681-60270-1,,
77244,Y86681-60280-1,,
77247,Y86681-62010-1,,
77248,Y86681-76010-1,,
77262,39164-3M0-J01,,
77264,Y86681-10010-B-2,,
77278,86101-46410-A,,
77331,YS39825-T90-A111-M1,,
77332,YS39825-T90-A311-M1,,
77351,86101-46270-A,,
77352,86101-46290-A,,
77353,86101-46310-A,,
77354,86101-46330-A,,
77355,86101-46360-A,,
77356,86101-46380-A,,
77358,S39156-32R-J011-M1,,
77407,86101-46390-B,,
77408,86101-46400-A,,
77409,86101-46530-B,,
77427,FED39165-3A0-A110-Y1,,
77527,86101-46620-B,,
77536,Y86101-V3080,,
77539,86050-12120-1,,
77540,86050-12130-1,,
77541,Y86050-12120-1,,
77542,Y86050-12130-1,,
77550,86101-46190-A-1,,
77551,86101-46200-A-1,,
77552,86101-46210-A-1,,
77565,86101-46220-B,,
77566,86101-46240-B,,
77569,86101-46230-B,,
77570,86101-46250-B,,
77592,S39515-32R-J010-Y1,,
77593,S39878-32R-J010-Y1,,
77594,86050-42070-A-2,,
77595,86050-42080-2,,
77596,86050-48150-4,,
77597,86050-48190-4,,
77605,99199-55ZA0,,
77613,86101-V2010,,
77615,86101-78C60-B,,
77674,S39160-TTA-J113-M1-1,,
77675,S39160-TKR-J112-M1-2,,
77679,86705-V2030-A,,
77778,86101-11710,,
77779,86101-11720,,
77780,86101-11730,,
77781,86101-11740,,
77804,86101-11690,,
77809,86101-11750,,
77810,86101-11700,,
77811,86101-11860,,
77822,86101-11800,,
77823,86101-11810,,
77824,86101-11820,,
77825,86101-11830,,
77826,86101-11840,,
77827,86101-11850,,
77828,86101-11870,,
77829,86101-11880,,
77830,86101-11890-A,,
77831,86101-11A00,,
77832,86101-11A10,,
77833,86101-11A20,,
77834,86101-11A30,,
77835,86101-11A40,,
77836,86101-11A50,,
77837,86101-11A60,,
77838,86101-11A70,,
77839,86101-11A80,,
77840,86101-11A90-A,,
77841,86101-11B00,,
77842,39164-TZA-E11,,
77843,39515-TZA-E01,,
77845,39878-TZA-T01,,
77926,86101-42P80,,
77927,86101-42W40,,
77928,86101-42W50,,
77953,86101-46430-C,,
77954,86101-46450-C,,
77955,86101-46480-B,,
77956,86101-46520-B,,
78080,86101-57030,,
78082,L86808-V2010-A,,
78110,L86765-V2030-A,,
78122,Y86101-46190-A-1,,
78123,Y86101-46200-A-1,,
78124,Y86101-46210-A-1,,
78125,Y86101-46220-B,,
78126,Y86101-46230-B,,
78127,Y86101-46240-B,,
